stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13532] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13534] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13536] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13538] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13540] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13542] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13544] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13548] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13550] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13553] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13554] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13556] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13558] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13560] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13562] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13564] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13565] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13567] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13569] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13571] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13573] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13575] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13576] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13578] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13580] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13582] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13584] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13586] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13588] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
