stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.17669] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17677] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17685] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17694] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17703] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17710] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17717] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17733] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17744] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17755] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17764] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17774] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17782] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17790] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17802] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17811] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17821] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17830] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17838] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17847] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17859] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17867] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17876] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17885] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17894] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17903] Score is : 897
